Intellectual property right :Patent

Indicator :2a- Grant for direct applications

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Republic of Korea","KR","Total","Total (equivalent count)","28968","27673","36102","38090","44021","62320","101296","104804","77386","61151","72197","91361","104178","115223","117814","98343","107306","117693","116673","123611","132338","137989","126491","131683","128028",
"Republic of Korea","KR","Total","Abroad (equivalent count)","6041","5867","6006","7627","8836","9018","12236","13306","16431","19203","21019","19359","20371","19813","20881","22456","25420","27539","28206","29465","29370","28726","28253","33507","33980",
"Singapore","SG","Total","Total","102","172","195","584","750","749","741","855","964","1050","1282","1238","1308","1261","1381","1479","1662","1712","1849","1910","2441","2276","1794","2277","2384",
"Singapore","SG","Total","Resident","102","170","195","135","320","417","291","274","315","259","184","241","184","180","251","234","208","171","134","135","174","225","132","200","204",
"Singapore","SG","Total","Abroad","","2","","449","430","332","450","581","649","791","1098","997","1124","1081","1130","1245","1454","1541","1715","1775","2267","2051","1662","2077","2180",
"Singapore","SG","Total","Total (equivalent count)","102","172","195","584","750","749","741","855","964","1050","1290","1238","1321","1273","1402","1505","1672","1727","1849","1915","2441","2283","1808","2284","2403",
"Singapore","SG","Total","Abroad (equivalent count)","","2","","449","430","332","450","581","649","791","1106","997","1137","1093","1151","1271","1464","1556","1715","1780","2267","2058","1676","2084","2199",
"Thailand","TH","Total","Total","45","58","39","102","79","81","158","157","108","103","370","224","126","158","158","160","140","171","235","329","360","344","324","516","499",
"Thailand","TH","Total","Resident","45","58","39","56","57","62","118","118","62","59","306","143","57","66","73","62","60","87","123","168","188","178","209","378","378",
"Thailand","TH","Total","Abroad","","","","46","22","19","40","39","46","44","64","81","69","92","85","98","80","84","112","161","172","166","115","138","121",
"Thailand","TH","Total","Total (equivalent count)","45","58","39","102","79","81","158","157","108","103","370","224","126","158","158","160","140","171","235","334","360","344","324","516","499",
"Thailand","TH","Total","Abroad (equivalent count)","","","","46","22","19","40","39","46","44","64","81","69","92","85","98","80","84","112","166","172","166","115","138","121",
"Viet Nam","VN","Total","Total","12","7","9","18","22","28","44","34","41","31","33","49","52","65","43","72","90","130","226","197","178","213","199","370","367",
"Viet Nam","VN","Total","Resident","12","7","9","17","22","27","44","34","39","29","29","48","50","59","36","62","71","109","203","169","139","153","153","314","305",
"Viet Nam","VN","Total","Abroad","","","","1","","1","","","2","2","4","1","2","6","7","10","19","21","23","28","39","60","46","56","62",
"Viet Nam","VN","Total","Total (equivalent count)","12","7","9","18","22","28","44","34","41","31","33","49","52","65","43","72","90","130","226","197","178","213","199","370","367",
"Viet Nam","VN","Total","Abroad (equivalent count)","","","","1","","1","","","2","2","4","1","2","6","7","10","19","21","23","28","39","60","46","56","62",
