Intellectual property right :Patent

Indicator :5 - Patent grants by technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"China","CN","Total","12 - Control","31","34","54","117","164","131","193","225","568","1361","1366","1861","2443","2605","3183","4935","7183","9063","9403","9475","11993","16455","19491","19453","23650",
"China","CN","Total","13 - Medical technology","196","201","151","320","462","427","549","590","913","1405","1474","1887","2724","3002","3450","5066","5964","7040","7927","7731","10942","16105","20248","24308","31194",
"China","CN","Total","14 - Organic fine chemistry","334","285","258","494","931","873","1326","1318","1487","1811","2147","3233","4673","5432","6204","8380","8978","7728","8066","8431","10078","12716","15430","16247","13743",
"China","CN","Total","15 - Biotechnology","122","154","87","294","578","662","929","1013","1057","1198","1886","2851","4553","5757","5389","5101","5163","4452","5818","8640","10649","14185","17024","18739","15993",
"China","CN","Total","16 - Pharmaceuticals","1220","1227","734","1085","1880","2167","3307","3429","3285","3893","4816","7875","8144","8452","9251","8893","7641","5980","7267","7127","8791","12302","12454","14354","12297",
"China","CN","Total","17 - Macromolecular chemistry, polymers","146","179","160","438","707","643","901","790","834","1179","1527","2795","3644","3808","3896","5337","7435","6257","6800","6195","7759","10939","13003","13401","10112",
"China","CN","Total","18 - Food chemistry","468","638","482","646","802","1022","1203","1149","1072","1183","1645","2607","6848","8118","6219","7423","6560","3617","4185","3625","4168","5435","6291","7563","6481",
"China","CN","Total","19 - Basic materials chemistry","473","633","464","964","1309","1526","1765","1699","1742","2342","2382","3385","5810","9518","9244","10547","12084","9526","10078","8684","11134","16113","15866","15457","13866",
"China","CN","Total","20 - Materials, metallurgy","519","508","426","681","1193","1446","1784","2172","2671","3492","4299","6062","8083","8990","9462","13465","16490","15432","14788","13803","16281","21086","25884","25477","21986",
"China","CN","Total","21 - Surface technology, coating","97","95","101","186","355","415","560","639","844","1309","1732","2145","2723","2451","2940","4999","6332","5972","6508","6779","6854","8707","10083","12528","11843",
"China","CN","Total","22 - Micro-structural and nano-technology","","","1","1","13","22","55","51","98","171","166","281","420","522","713","966","1232","1246","1035","1285","1514","1736","2214","2326","1886",
"China","CN","Total","23 - Chemical engineering","223","229","288","607","701","692","782","962","1382","1885","2119","3014","4504","4766","5489","8954","10597","10815","11781","12133","16046","23712","28734","34853","38166",
"China","CN","Total","24 - Environmental technology","110","115","159","308","504","577","719","791","965","1486","1522","2828","3823","4267","4438","6362","7793","7094","7528","7656","9932","14090","16555","19407","20805",
"China","CN","Total","25 - Handling","57","68","83","147","193","230","301","399","532","922","1069","1736","2581","2677","3365","7176","9829","11539","11837","10718","13090","17105","20463","27583","36880",
"China","CN","Total","26 - Machine tools","152","212","168","264","371","477","602","836","1533","2189","2591","3905","5314","5277","6342","13547","17719","19632","18757","16934","20193","26136","30457","36919","48439",
"China","CN","Total","27 - Engines, pumps, turbines","80","102","117","173","218","241","247","413","784","953","1008","1574","2157","2091","1999","4278","5911","6201","6102","6274","6689","6709","9635","11264","14975",
"China","CN","Total","28 - Textile and paper machines","99","123","163","233","382","446","537","656","789","1085","1476","2347","2671","2511","3162","4987","6178","5888","5901","5210","6250","8833","9484","10368","10064",
"China","CN","Total","29 - Other special machines","204","230","228","354","576","595","771","967","1252","1769","2356","3766","4705","5782","6553","10490","12873","13097","12578","11887","16490","24426","26986","31002","31777",
"China","CN","Total","30 - Thermal processes and apparatus","111","100","106","303","416","434","511","607","1008","1832","1634","1946","2762","2539","2779","4656","6330","7549","7562","8211","8757","10507","11058","12981","17756",
"China","CN","Total","31 - Mechanical elements","66","123","117","201","185","274","337","553","900","1267","1370","1876","2928","2900","2818","5866","7803","8323","8476","7246","7912","9228","11756","14593","19832",
"China","CN","Total","32 - Transport","72","86","111","169","194","215","289","516","841","1064","1279","1777","2567","2976","2684","6135","9389","10590","10905","11346","14857","19114","23132","26040","29972",
"China","CN","Total","33 - Furniture, games","56","82","98","224","218","254","327","311","557","916","870","1175","1500","1371","1712","2837","4054","4921","5815","5103","6990","9390","9767","11124","12247",
"China","CN","Total","34 - Other consumer goods","97","119","133","237","347","430","346","332","632","1049","1036","1345","1764","1536","1671","3182","4438","4563","5212","4773","5833","7128","8308","9801","10301",
"China","CN","Total","35 - Civil engineering","168","240","226","441","529","635","773","930","1431","2592","2997","4150","5051","4663","6529","12512","16694","16962","16502","15982","19674","25634","28106","33636","41926",
"Indonesia","ID","Total","1 - Electrical machinery, apparatus, energy","","","","","3","1","","","","","","","","","","1","1","","","","","","","","",
"Indonesia","ID","Total","2 - Audio-visual technology","","","1","","","","","","","","1","","1","","1","","1","1","","","","","","","",
"Indonesia","ID","Total","3 - Telecommunications","1","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","ID","Total","4 - Digital communication","","","","","","","1","","","","","","","","","","1","","","","","","","","",
"Indonesia","ID","Total","6 - Computer technology","","","","","","","","","","","1","2","","","","","4","3","","","","","1","","",
"Indonesia","ID","Total","7 - IT methods for management","","","","","","","","","","","","","","","","","","","","","","","","","1",
"Indonesia","ID","Total","8 - Semiconductors","","","","","2","","","1","1","","","","","","","","","","","","","","1","","",
"Indonesia","ID","Total","9 - Optics","","","","1","","2","","","1","","","1","","","","","","1","","","","","","","",
"Indonesia","ID","Total","10 - Measurement","","1","","1","","1","","1","","","","","","1","","","","1","","","","","","1","",
"Indonesia","ID","Total","11 - Analysis of biological materials","1","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","ID","Total","12 - Control","","","","","","","1","","","","1","1","","","","","1","1","1","","","","","","1",
"Indonesia","ID","Total","13 - Medical technology","","","","","","","","1","","","","","","","","","","","","","","","","","",
"Indonesia","ID","Total","14 - Organic fine chemistry","","","1","","1","","","1","","","1","","","2","1","4","","1","2","2","","","","","",
"Indonesia","ID","Total","15 - Biotechnology","","","","","","","","","","","","","","","","","","","1","","","","1","1","",
"Indonesia","ID","Total","16 - Pharmaceuticals","1","","1","1","","","","1","","","","","","1","5","6","5","4","2","2","3","2","","1","",
"Indonesia","ID","Total","17 - Macromolecular chemistry, polymers","","","","1","","","","1","","","","","","","","1","","","1","","1","","1","","",
"Indonesia","ID","Total","18 - Food chemistry","1","1","","","","","","","","","1","","","","","1","1","2","","","1","","1","","",
"Indonesia","ID","Total","19 - Basic materials chemistry","1","","","1","","","","","1","","","","","","","2","5","","2","1","2","","1","","1",
"Indonesia","ID","Total","20 - Materials, metallurgy","","","","","","","","","1","","1","1","","","","","","","","","","","","","",
"Indonesia","ID","Total","21 - Surface technology, coating","1","","","","","","1","1","","","","","1","","","","","","","","","","","","1",
"Indonesia","ID","Total","23 - Chemical engineering","","1","2","","","2","","1","1","","","1","","1","","","","","","","","1","","","",
"Indonesia","ID","Total","24 - Environmental technology","","","","1","1","3","2","","","","","","","","","","","","","","","","","1","",
"Indonesia","ID","Total","25 - Handling","","1","2","2","2","1","2","","2","1","","1","","2","1","2","2","","1","","2","","1","","",
