Intellectual property right :Patent

Indicator :5 - Patent grants by technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Malaysia","MY","Total","35 - Civil engineering","10","7","11","8","10","9","27","45","9","20","32","30","23","34","27","28","45","37","43","19","11","38","51","43","26",
"Myanmar","MM","Total","1 - Electrical machinery, apparatus, energy","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Myanmar","MM","Total","6 - Computer technology","","","","","","","","","","","","","","","","","","","","","","","","","2",
"Myanmar","MM","Total","7 - IT methods for management","","","","","","","","","","","","","","","","","","","","","","","","","1",
"Myanmar","MM","Total","10 - Measurement","","","","","","","","","1","","","","","","","","","","","","","","","","",
"Myanmar","MM","Total","14 - Organic fine chemistry","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Myanmar","MM","Total","18 - Food chemistry","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Myanmar","MM","Total","20 - Materials, metallurgy","","","","","","","","","","","","","","1","1","","","","","","","","","","",
"Myanmar","MM","Total","29 - Other special machines","","","","","","","","","","","","","","1","","","","","","","","","","","",
"Myanmar","MM","Total","33 - Furniture, games","","","","","","","","","","","","","","","","","","","1","","","","","","",
"Philippines","PH","Total","1 - Electrical machinery, apparatus, energy","","1","","","","","","","","","1","","","","3","1","1","1","4","4","3","3","2","","2",
"Philippines","PH","Total","2 - Audio-visual technology","","","1","","","","","","","","","","2","","4","2","1","1","","","","1","1","1","1",
"Philippines","PH","Total","3 - Telecommunications","","","","","","","","","","1","","","1","","","1","5","3","","","1","","","","1",
"Philippines","PH","Total","4 - Digital communication","","","","","","1","","1","","2","","","1","","2","1","7","3","1","1","2","1","3","","1",
"Philippines","PH","Total","6 - Computer technology","","","","","","1","","1","","2","3","2","1","1","2","3","8","5","1","1","2","2","2","2","1",
"Philippines","PH","Total","7 - IT methods for management","","","","","","","","","","","1","1","1","","1","3","6","3","2","3","2","1","4","","",
"Philippines","PH","Total","8 - Semiconductors","","","","","","","","1","","","","2","1","1","","4","3","10","11","5","9","12","6","10","9",
"Philippines","PH","Total","9 - Optics","","","","","","","","","","1","","","1","1","8","11","13","12","5","3","2","4","","1","",
"Philippines","PH","Total","10 - Measurement","","","","","","","","","","","","","1","","2","","2","1","1","1","","3","1","","2",
"Philippines","PH","Total","11 - Analysis of biological materials","","","","","","","","","","","","","","","","","","","","","","","","","1",
"Philippines","PH","Total","12 - Control","","","","","","1","","1","","","1","","","","2","","1","1","2","2","","3","3","1","",
"Philippines","PH","Total","13 - Medical technology","1","1","","2","1","","","","","1","2","1","3","1","2","7","3","1","11","5","2","3","4","4","1",
"Philippines","PH","Total","14 - Organic fine chemistry","1","","1","","1","","","2","1","","","","","","","1","","2","2","1","","","1","","",
"Philippines","PH","Total","15 - Biotechnology","","","","","","","","","","","","","","","1","1","2","1","2","","","2","1","2","3",
"Philippines","PH","Total","16 - Pharmaceuticals","","","","","1","3","1","2","1","","","1","","","1","3","1","7","4","3","2","","1","2","5",
"Philippines","PH","Total","17 - Macromolecular chemistry, polymers","","","","","","","","","","","","","","","1","","","","","","","","1","","1",
"Philippines","PH","Total","18 - Food chemistry","","","","","","","","","","","1","","","1","1","1","1","","1","5","4","7","3","2","3",
"Philippines","PH","Total","19 - Basic materials chemistry","","","","","","","","","","","","","","","","1","2","","1","2","","5","","3","7",
"Philippines","PH","Total","20 - Materials, metallurgy","","","","","","","","1","","","","","2","1","2","2","","1","","","1","","1","1","1",
"Philippines","PH","Total","21 - Surface technology, coating","","","","","","","","","1","","2","2","2","1","1","","2","2","2","","1","","","","",
"Philippines","PH","Total","22 - Micro-structural and nano-technology","","","","","","","","","","","","","","","","","","","","1","","","1","1","1",
"Philippines","PH","Total","23 - Chemical engineering","","","","1","","","","","","","","","","","2","4","1","3","3","2","1","3","1","3","4",
"Philippines","PH","Total","24 - Environmental technology","","","","","","","","","","","","","","","1","","2","1","1","3","1","","1","1","1",
"Philippines","PH","Total","25 - Handling","","","1","","","1","","2","2","3","2","2","3","2","1","4","2","2","1","","3","1","1","","1",
"Philippines","PH","Total","26 - Machine tools","","","","","","","","1","","","","","1","","","1","1","1","1","2","","","1","1","",
"Philippines","PH","Total","27 - Engines, pumps, turbines","","1","1","1","","1","1","1","1","","1","2","1","1","2","2","1","1","2","1","","1","1","","1",
"Philippines","PH","Total","28 - Textile and paper machines","","","1","","","","","1","","","","","1","","","1","","","","","","1","","","",
"Philippines","PH","Total","29 - Other special machines","","1","1","","2","","","","","","","","","","1","4","4","5","5","4","3","1","7","2","5",
"Philippines","PH","Total","30 - Thermal processes and apparatus","1","","","","","","","","","","","","","","","1","","","1","","","","","2","",
"Philippines","PH","Total","31 - Mechanical elements","","","","","","","","","","","","","","","1","6","","","1","1","1","1","1","","2",
"Philippines","PH","Total","32 - Transport","","1","1","","","1","1","","","","","","","1","4","1","1","1","","1","","1","2","","2",
"Philippines","PH","Total","33 - Furniture, games","","","","","1","","","","","1","1","1","","","","1","2","3","2","1","","1","","1","2",
"Philippines","PH","Total","34 - Other consumer goods","","2","2","1","","","1","","","","","","","","1","","","1","1","2","","","","","",
"Philippines","PH","Total","35 - Civil engineering","","","","","","","","","","1","","1","","1","","4","1","1","1","4","2","3","2","3","2",
"Republic of Korea","KR","Total","Unknown","","","","","","","1","8","11","8","1","4","3","1","5","1","2","6","6","4","1","3","41","153","55",
"Republic of Korea","KR","Total","1 - Electrical machinery, apparatus, energy","2028","2099","2690","2538","3071","4197","8095","9807","6711","5767","6743","8836","9426","10414","10859","9696","11186","12750","11610","12456","12986","12861","12249","13040","14477",
"Republic of Korea","KR","Total","2 - Audio-visual technology","4192","2772","2876","2825","3368","5181","9449","9799","6570","5223","5834","6732","6965","6938","7257","6197","7167","7388","7101","7660","8369","8461","9029","9517","10200",
"Republic of Korea","KR","Total","3 - Telecommunications","2412","2185","2482","2330","2622","3336","8472","8411","4681","3291","4361","5058","4974","4977","5582","4553","4453","4443","4496","4810","4356","4060","3564","3245","3066",
"Republic of Korea","KR","Total","4 - Digital communication","1603","1327","1329","1573","2241","2253","5079","5376","3563","3190","3435","4680","4904","5701","6691","6670","7695","7844","8207","9708","9656","9721","8532","8260","8015",
"Republic of Korea","KR","Total","5 - Basic communication processes","755","694","643","645","648","955","1198","1172","1030","932","1066","1173","1136","1092","1003","841","1067","1032","894","1027","987","970","954","1034","914",
"Republic of Korea","KR","Total","6 - Computer technology","2575","2322","2391","2606","2943","4103","6522","6588","5628","5109","5550","6791","7467","8108","9231","8834","9572","10004","10379","11860","13587","14926","15260","16375","16327",
"Republic of Korea","KR","Total","7 - IT methods for management","55","64","144","195","246","319","647","1293","1291","727","1009","1537","1896","1882","2159","2046","2903","2981","2831","3220","4077","5037","4834","4793","4756",
"Republic of Korea","KR","Total","8 - Semiconductors","4132","3157","3691","3325","3583","5632","10137","9737","7706","6273","7093","8834","8428","7480","8122","6917","7560","7129","7267","7902","8224","8351","8160","9443","9611",
"Republic of Korea","KR","Total","9 - Optics","1679","1392","1648","1793","2220","3176","5079","5636","4882","3909","4446","4731","5381","6210","5073","3905","4334","4572","4720","5106","5077","5046","4788","4731","4508",
"Republic of Korea","KR","Total","10 - Measurement","711","687","1157","1066","1227","1601","1984","2188","2117","1935","2451","3280","4168","4986","4844","4018","4221","5214","5031","5708","5863","6014","5580","6072","6348",
"Republic of Korea","KR","Total","11 - Analysis of biological materials","30","47","40","70","69","123","180","244","206","182","237","334","448","548","534","479","478","656","698","707","799","776","664","716","630",
"Republic of Korea","KR","Total","12 - Control","370","374","447","562","601","736","966","1221","849","755","1078","1530","1580","1829","1874","1486","1740","1991","2180","2471","2903","3142","2788","2662","2495",
"Republic of Korea","KR","Total","13 - Medical technology","177","252","496","562","602","909","1413","1497","1377","1167","1516","2271","2686","2916","3317","3151","3843","3984","4163","4662","5616","6736","6322","6402","5827",
"Republic of Korea","KR","Total","14 - Organic fine chemistry","323","349","536","592","683","925","1271","1260","1131","779","868","1279","1554","1590","1722","1683","1819","2320","2366","2681","2999","3330","2900","3434","3451",
"Republic of Korea","KR","Total","15 - Biotechnology","306","279","415","440","761","832","960","1107","1009","605","851","1101","1435","1710","1979","1784","1823","2290","2220","2267","2501","2478","1988","2273","2199",
"Republic of Korea","KR","Total","16 - Pharmaceuticals","193","227","326","437","436","693","921","928","884","588","706","1169","1555","1838","2243","1862","2219","2613","2324","2335","2565","2648","2188","2343","2333",
"Republic of Korea","KR","Total","17 - Macromolecular chemistry, polymers","341","313","497","663","701","1021","1474","1227","959","619","725","806","1249","1357","1420","1273","1568","1966","1727","1973","2424","2612","2384","2575","2464",
"Republic of Korea","KR","Total","18 - Food chemistry","255","320","593","764","890","1440","1508","1638","1324","1025","871","1429","2127","2391","2393","1501","1624","2370","2601","2406","2419","2526","2355","2461","2391",
"Republic of Korea","KR","Total","19 - Basic materials chemistry","283","380","547","660","721","1148","1535","1640","1153","885","1170","1385","1806","2093","2127","1901","1906","2432","2534","2780","3083","3239","2747","2802","2664",
"Republic of Korea","KR","Total","20 - Materials, metallurgy","726","609","1017","1105","1129","1446","1844","1869","1774","1183","1476","1883","2670","3194","3218","2490","2770","2633","2418","2577","2812","2924","2508","2547","2346",
"Republic of Korea","KR","Total","21 - Surface technology, coating","374","427","598","520","626","833","1108","1240","1003","766","1072","1336","1787","2092","2098","1802","1969","2060","2004","2007","2220","2403","2173","2134","2197",
"Republic of Korea","KR","Total","22 - Micro-structural and nano-technology","3","10","17","37","87","123","224","305","265","147","272","549","457","451","500","360","278","225","180","167","156","154","113","168","159",
"Republic of Korea","KR","Total","23 - Chemical engineering","281","303","546","523","688","1146","1485","1852","1529","1227","1547","1956","2570","2942","2957","2564","2758","3231","3236","3403","3650","3854","3436","3593","3055",
"Republic of Korea","KR","Total","24 - Environmental technology","455","577","872","848","1086","1690","1801","2063","1559","1302","1547","1738","2081","2443","2262","1779","1938","2219","2259","2475","2589","2696","2278","2264","1972",
"Republic of Korea","KR","Total","25 - Handling","408","434","659","570","636","874","1492","1474","1368","1030","1231","1715","2179","2727","2722","2216","2544","2817","2876","3267","3266","3381","3305","3287","3413",
"Republic of Korea","KR","Total","26 - Machine tools","581","523","892","885","1138","1411","2276","2122","1805","1441","1576","2150","2744","3283","3458","3033","2526","2545","2719","2875","2936","2862","2562","2477","2398",
"Republic of Korea","KR","Total","27 - Engines, pumps, turbines","893","1044","1051","1297","1167","1502","1998","1809","1365","982","1258","1795","2184","2675","2667","2221","2207","2313","2370","2654","2761","2565","2353","2070","1918",
"Republic of Korea","KR","Total","28 - Textile and paper machines","525","592","797","748","852","1329","1594","1335","922","747","858","1174","1407","1525","1542","1189","1066","1209","1298","1345","1293","1261","1056","1081","988",
"Republic of Korea","KR","Total","29 - Other special machines","629","662","1070","915","1196","1761","2534","2503","2058","1707","1982","2523","3472","4029","4218","3026","3404","4033","4340","4370","4586","5080","4331","4119","3537",
"Republic of Korea","KR","Total","30 - Thermal processes and apparatus","911","836","1072","1269","1347","1789","2913","3174","2144","1355","1603","1956","2621","2983","2941","2288","2458","2546","2433","2871","3108","3017","2762","2585","2182",
"Republic of Korea","KR","Total","31 - Mechanical elements","841","697","1001","994","928","1311","1645","1653","1511","1176","1307","1657","2138","2665","2783","2240","2682","3337","3501","3581","3689","3559","3240","3218","3041",
"Republic of Korea","KR","Total","32 - Transport","1658","1228","2189","3053","2574","4329","4247","3817","3791","2393","2777","3267","4216","6121","6655","5681","6361","6507","6167","6411","6276","6778","7072","7551","7641",
"Republic of Korea","KR","Total","33 - Furniture, games","422","361","612","763","998","1594","2433","2685","1964","1449","1668","2386","2709","3394","3543","2783","2904","2941","3042","3402","3463","3886","3619","3174","2956",
"Republic of Korea","KR","Total","34 - Other consumer goods","854","821","1030","1294","1289","1920","2787","3154","2056","1586","1815","2904","3494","3635","3589","2813","3195","3567","3433","3733","3751","4345","4177","4284","3845",
"Republic of Korea","KR","Total","35 - Civil engineering","648","598","962","1540","1664","2576","5048","5881","3242","2820","3912","5330","6175","6486","5955","5049","5301","5797","5898","6094","6841","6739","5398","5151","5186",
"Singapore","SG","Total","Unknown","","","","","","","","","2","","","","","","","","","","","","","","","11","",
"Singapore","SG","Total","1 - Electrical machinery, apparatus, energy","8","10","15","16","27","20","35","68","70","90","107","94","116","109","119","128","197","198","244","219","230","192","201","236","253",
"Singapore","SG","Total","2 - Audio-visual technology","14","15","18","43","27","33","53","74","76","105","149","139","252","227","260","256","378","341","375","372","467","459","314","273","250",
"Singapore","SG","Total","3 - Telecommunications","4","5","14","17","17","15","34","59","53","63","72","71","70","74","81","99","118","151","157","157","183","204","154","125","127",
"Singapore","SG","Total","4 - Digital communication","4","6","8","13","20","20","37","56","54","52","50","46","68","54","86","130","173","279","341","387","426","445","508","686","788",
"Singapore","SG","Total","5 - Basic communication processes","17","15","21","14","17","10","48","67","69","99","76","79","91","75","100","114","111","134","105","95","81","65","87","96","87",
"Singapore","SG","Total","6 - Computer technology","20","21","24","38","44","46","117","161","175","196","204","215","269","259","298","369","549","471","483","504","549","597","638","722","684",
"Singapore","SG","Total","7 - IT methods for management","","1","6","7","8","12","9","11","7","8","12","12","9","16","19","16","28","29","16","37","53","53","77","83","68",
"Singapore","SG","Total","8 - Semiconductors","83","174","167","147","117","80","119","153","139","163","292","374","454","491","532","612","633","528","382","427","303","304","319","359","380",
"Singapore","SG","Total","9 - Optics","5","8","7","11","17","10","41","89","80","91","90","66","75","88","67","83","112","64","194","341","666","452","306","113","105",
"Singapore","SG","Total","10 - Measurement","12","21","15","23","20","18","31","74","77","88","101","84","98","121","105","110","140","142","156","176","177","156","153","184","156",
"Singapore","SG","Total","11 - Analysis of biological materials","","2","","5","3","9","3","5","6","6","8","7","16","20","24","17","23","33","43","40","39","31","25","29","19",
"Singapore","SG","Total","12 - Control","5","3","4","10","7","11","18","17","19","17","21","13","25","17","23","28","43","44","41","57","51","48","57","50","57",
"Singapore","SG","Total","13 - Medical technology","3","6","7","6","14","12","13","9","18","27","36","47","66","63","85","77","69","84","96","117","147","154","152","131","166",
"Singapore","SG","Total","14 - Organic fine chemistry","","1","1","2","3","2","4","9","4","10","13","21","32","43","47","36","55","49","44","54","43","46","50","45","34",
"Singapore","SG","Total","15 - Biotechnology","5","4","3","10","14","19","25","22","21","20","26","31","39","47","56","59","63","66","111","110","109","107","89","93","104",
"Singapore","SG","Total","16 - Pharmaceuticals","4","7","2","9","12","15","16","17","18","15","24","31","45","61","59","62","60","75","81","101","91","96","111","116","115",
"Singapore","SG","Total","17 - Macromolecular chemistry, polymers","2","2","","1","1","2","4","3","4","5","8","12","15","18","20","24","17","28","28","37","53","42","39","36","32",
"Singapore","SG","Total","18 - Food chemistry","","1","3","2","5","5","8","8","5","8","7","10","11","13","24","16","16","12","15","21","13","21","16","21","25",
"Singapore","SG","Total","19 - Basic materials chemistry","2","3","2","4","2","3","1","4","4","8","7","9","15","15","16","26","14","24","29","25","31","33","19","29","20",
"Singapore","SG","Total","20 - Materials, metallurgy","2","3","6","8","8","5","10","9","5","5","7","9","7","12","16","25","29","23","21","25","30","22","14","16","26",
"Singapore","SG","Total","21 - Surface technology, coating","6","8","12","15","9","11","13","15","7","11","14","18","20","23","34","43","44","25","30","27","36","47","33","47","29",
"Singapore","SG","Total","22 - Micro-structural and nano-technology","","1","1","3","2","2","3","10","5","4","4","5","9","5","8","13","17","16","14","17","20","10","12","14","8",
"Singapore","SG","Total","23 - Chemical engineering","4","8","5","5","5","6","10","14","16","17","13","15","21","27","41","36","51","55","57","52","65","74","51","64","67",
"Singapore","SG","Total","24 - Environmental technology","3","2","1","4","3","5","6","6","12","7","8","8","8","9","13","17","22","19","19","17","27","37","32","19","22",
"Singapore","SG","Total","25 - Handling","6","12","6","10","9","14","11","23","14","21","13","20","31","23","33","28","35","34","38","36","35","38","40","43","36",
"Singapore","SG","Total","26 - Machine tools","8","20","12","15","15","18","31","39","21","32","19","15","23","23","33","29","31","30","24","25","34","44","36","34","28",
"Singapore","SG","Total","27 - Engines, pumps, turbines","2","1","2","4","4","6","7","12","15","13","15","6","10","22","23","22","29","17","22","28","22","42","31","35","15",
"Singapore","SG","Total","28 - Textile and paper machines","4","7","10","5","5","2","6","17","4","8","7","9","13","6","16","16","15","13","10","21","19","29","12","32","20",
"Singapore","SG","Total","29 - Other special machines","4","7","10","15","23","15","17","14","8","11","19","22","21","23","45","37","47","43","44","51","70","73","73","56","71",
"Singapore","SG","Total","30 - Thermal processes and apparatus","5","4","5","4","5","7","6","8","12","11","7","8","8","4","9","7","11","14","11","20","15","21","19","19","19",
"Singapore","SG","Total","31 - Mechanical elements","4","3","4","4","5","5","8","9","3","5","8","9","6","16","12","20","34","37","22","28","37","46","40","46","45",
"Singapore","SG","Total","32 - Transport","9","7","10","5","7","7","11","10","14","15","19","23","29","29","29","45","49","53","47","55","59","60","63","60","52",
"Singapore","SG","Total","33 - Furniture, games","8","5","4","7","5","7","9","7","11","9","11","7","8","17","16","14","18","28","20","23","33","33","35","46","49",
"Singapore","SG","Total","34 - Other consumer goods","14","7","6","12","8","13","14","12","13","10","9","16","18","21","25","24","25","18","28","29","25","29","23","29","27",
"Singapore","SG","Total","35 - Civil engineering","8","12","10","16","19","17","23","16","23","24","22","32","25","35","42","55","61","68","53","67","55","75","68","50","38",
"Thailand","TH","Total","Unknown","","","","","","","","","","1","","","","","","","","","","","","","","","",
"Thailand","TH","Total","1 - Electrical machinery, apparatus, energy","","","1","1","1","","1","3","2","1","5","6","2","1","3","3","4","3","10","16","22","19","13","17","21",
"Thailand","TH","Total","2 - Audio-visual technology","1","","1","","","","","","1","3","4","6","2","5","2","1","1","1","5","15","16","7","8","6","2",
"Thailand","TH","Total","3 - Telecommunications","","","","","","","","","","","","","","1","1","2","1","","","2","3","2","2","1","2",
"Thailand","TH","Total","4 - Digital communication","","","","","","","","","","","","1","","","1","1","1","2","1","2","2","6","1","2","1",
"Thailand","TH","Total","5 - Basic communication processes","","","","","1","","","","","","","","1","1","1","","1","","","3","","","","","",
"Thailand","TH","Total","6 - Computer technology","","","","","","2","1","2","","1","3","8","4","6","6","4","4","5","5","9","12","15","8","9","7",
"Thailand","TH","Total","7 - IT methods for management","","","","","","","","","","","","1","","2","","1","","1","","1","1","1","1","1","2",
"Thailand","TH","Total","8 - Semiconductors","","","1","1","1","1","3","1","1","","5","5","5","10","8","10","6","4","6","","3","2","1","1","",
"Thailand","TH","Total","9 - Optics","","","","","1","","","1","","","","","","1","1","1","1","5","18","50","40","35","50","76","74",
"Thailand","TH","Total","10 - Measurement","","","","","","","","","","","3","","1","1","4","1","1","3","3","5","5","5","6","8","9",
"Thailand","TH","Total","11 - Analysis of biological materials","","","","","","","","","","","","","","3","","","1","1","","","1","","1","2","2",
"Thailand","TH","Total","12 - Control","","","","","1","","1","","","","","","1","2","7","2","3","4","2","","5","2","2","5","",
"Thailand","TH","Total","13 - Medical technology","","2","3","5","1","1","2","3","1","1","1","1","2","1","7","4","4","2","1","4","2","1","4","7","8",
"Thailand","TH","Total","14 - Organic fine chemistry","","","","","","","1","","1","1","2","","2","3","1","9","3","7","16","15","26","26","10","18","15",
"Thailand","TH","Total","15 - Biotechnology","","","","","","","1","","2","2","2","1","4","4","4","1","3","7","4","6","4","8","10","12","10",
"Thailand","TH","Total","16 - Pharmaceuticals","1","","1","1","","","2","1","1","4","2","3","4","","4","9","4","5","3","3","1","6","5","4","6",
"Thailand","TH","Total","17 - Macromolecular chemistry, polymers","","1","","","","","","","","2","1","1","2","2","2","11","10","8","16","26","39","43","51","37","17",
"Thailand","TH","Total","18 - Food chemistry","3","","2","3","","1","","1","","","","1","3","1","1","1","","8","4","1","4","9","6","5","9",
"Thailand","TH","Total","19 - Basic materials chemistry","","1","1","","","2","","","1","","","2","1","2","2","3","7","7","8","4","3","7","10","15","9",
"Thailand","TH","Total","20 - Materials, metallurgy","","1","","","1","","","","1","","2","1","","4","2","1","4","","5","6","10","9","3","4","3",
"Thailand","TH","Total","21 - Surface technology, coating","","","","2","","","","","","","1","5","1","2","3","3","3","1","1","2","5","8","5","6","6",
"Thailand","TH","Total","22 - Micro-structural and nano-technology","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Thailand","TH","Total","23 - Chemical engineering","","","","","","","","1","1","","3","3","1","4","3","4","4","5","10","20","15","19","17","16","15",
"Thailand","TH","Total","24 - Environmental technology","1","2","1","1","2","1","","","1","1","2","1","2","1","2","1","1","","1","3","1","3","1","1","2",
"Thailand","TH","Total","25 - Handling","","3","2","3","3","1","2","2","1","2","","1","","","2","8","5","","3","6","2","4","8","2","1",
"Thailand","TH","Total","26 - Machine tools","1","","1","2","1","","2","1","3","3","1","","","1","","2","2","2","4","5","5","1","5","4","3",
"Thailand","TH","Total","27 - Engines, pumps, turbines","","","1","3","2","1","2","","","1","3","","2","3","3","2","2","5","7","5","5","4","6","4","7",
"Thailand","TH","Total","28 - Textile and paper machines","","1","","","","","","","","","","3","1","1","","","","","3","1","2","3","2","2","",
"Thailand","TH","Total","29 - Other special machines","1","2","2","5","","4","2","3","1","6","3","5","6","4","6","5","5","5","10","9","19","24","25","21","12",
"Thailand","TH","Total","30 - Thermal processes and apparatus","","2","1","","","","","","","1","4","1","6","2","4","5","1","3","1","2","1","8","3","3","7",
"Thailand","TH","Total","31 - Mechanical elements","2","4","1","4","3","3","3","4","3","","4","3","2","4","5","7","3","3","3","6","5","2","5","1","4",
"Thailand","TH","Total","32 - Transport","1","2","1","3","5","7","7","5","10","3","5","1","2","4","5","4","5","5","10","8","7","2","8","9","10",
"Thailand","TH","Total","33 - Furniture, games","3","2","2","6","5","2","3","2","4","3","5","8","9","8","2","4","7","3","8","5","5","4","2","4","7",
"Thailand","TH","Total","34 - Other consumer goods","2","3","3","2","4","5","6","5","3","4","3","6","5","4","2","3","8","8","9","4","4","6","3","1","3",
"Thailand","TH","Total","35 - Civil engineering","","2","1","2","2","2","4","1","2","3","3","3","6","2","2","1","4","6","6","4","7","7","6","3","5",
"Viet Nam","VN","Total","1 - Electrical machinery, apparatus, energy","","","","","","","","","","","","","","1","","","","","","","1","1","2","","3",
"Viet Nam","VN","Total","2 - Audio-visual technology","","","","","","","","","","","","","","","","","","3","1","","","","","1","1",
"Viet Nam","VN","Total","3 - Telecommunications","","","","","","","","","","","","","","","","","","","","","","3","1","2","1",
"Viet Nam","VN","Total","4 - Digital communication","","","","","","","","","","","","","","","","","","","","1","1","2","1","4","3",
"Viet Nam","VN","Total","5 - Basic communication processes","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Viet Nam","VN","Total","6 - Computer technology","","","","","","","","","","1","","","","1","","","","","","1","","4","4","8","16",
"Viet Nam","VN","Total","7 - IT methods for management","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Viet Nam","VN","Total","8 - Semiconductors","","","","","","","","","","","","","","","","","","","","","","1","1","1","",
"Viet Nam","VN","Total","9 - Optics","","","","","","","","","","","","","","1","4","2","1","3","","1","","1","2","","1",
"Viet Nam","VN","Total","10 - Measurement","","","","","","","","","","","","","","","","","","","","","1","2","1","2","1",
"Viet Nam","VN","Total","12 - Control","","","","","","","","","","","","","","","","","","","1","","1","1","","1","3",
"Viet Nam","VN","Total","13 - Medical technology","","","","","","","","","","","","","","","1","2","2","2","3","1","1","4","1","","",
"Viet Nam","VN","Total","14 - Organic fine chemistry","","","","","","","","","","","","","","","","","2","","","","","","","1","",
"Viet Nam","VN","Total","15 - Biotechnology","","","","","","","","","","","","","","1","","2","","","3","","1","1","1","1","3",
"Viet Nam","VN","Total","16 - Pharmaceuticals","","","","","","","","","","","","1","","1","","1","","","","","2","1","3","2","5",
"Viet Nam","VN","Total","17 - Macromolecular chemistry, polymers","","","","","","","","","","","","","","","4","2","","1","1","","","","","","",
"Viet Nam","VN","Total","18 - Food chemistry","","","","","","","","","","","","","1","","","","","","","1","1","","2","2","2",
"Viet Nam","VN","Total","19 - Basic materials chemistry","","","","","","","","","","","","1","","1","3","7","4","","1","1","1","","5","1","1",
"Viet Nam","VN","Total","20 - Materials, metallurgy","","","","","","","","","","","","","","","","1","1","","","","1","1","","2","",
"Viet Nam","VN","Total","21 - Surface technology, coating","","","","","","","","","","","","","","","1","6","2","1","","","1","","1","","3",
"Viet Nam","VN","Total","22 - Micro-structural and nano-technology","","","","","","","","","","","","","","","","1","1","","","","","1","","","",
"Viet Nam","VN","Total","23 - Chemical engineering","","","","","","","","","","","","","","","","","","","","","1","1","3","2","2",
"Viet Nam","VN","Total","24 - Environmental technology","","","","","","1","","","","","","","","","","","","","1","","2","1","1","2","2",
"Viet Nam","VN","Total","25 - Handling","","","","","","","","","","","","","","","","","1","1","","","1","","","1","2",
"Viet Nam","VN","Total","26 - Machine tools","","","","","","1","","2","","","","","1","","","","","","","","","","","2","1",
"Viet Nam","VN","Total","27 - Engines, pumps, turbines","","","","1","","","","","","","","","","","1","","1","1","","3","3","11","1","","2",
"Viet Nam","VN","Total","28 - Textile and paper machines","","","","","","","","","","","","","1","","3","5","4","5","1","1","","","1","4","",
"Viet Nam","VN","Total","29 - Other special machines","","","","","","","","","","","","","","","","","","1","2","2","1","3","4","2","2",
"Viet Nam","VN","Total","30 - Thermal processes and apparatus","","","","","","","","","","","","","","","","","","","","","1","1","1","","",
"Viet Nam","VN","Total","31 - Mechanical elements","","","","","","","","","","","","","","","","","1","","","","1","1","1","1","1",
"Viet Nam","VN","Total","32 - Transport","","","","","","1","","","","","","","1","","","","1","1","","","2","1","1","2","2",
"Viet Nam","VN","Total","33 - Furniture, games","","","","","","","","","","","","1","1","2","1","3","3","6","8","6","6","8","4","","",
"Viet Nam","VN","Total","34 - Other consumer goods","","","","","","1","","","","","","","","","","1","2","3","5","1","1","1","","","2",
"Viet Nam","VN","Total","35 - Civil engineering","","","","","","","","","","","","1","1","","1","","3","4","2","1","2","","4","1","3",
