Intellectual property right :Patent

Indicator :1b- PCT national phase entries

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Republic of Korea","KR","Total","Total (equivalent count)","1354","1775","2100","2241","4751","6784","8691","10570","12222","12299","12881","13227","15757","17204","18656","20362","21938","22841","25599","29474","30763","33351","36026","40101","39382",
"Republic of Korea","KR","Total","Abroad (equivalent count)","1276","1607","1970","2093","4528","6538","8464","10307","11799","11971","12537","12864","15315","16474","17768","19463","20811","21947","24684","28248","29786","31852","33783","38117","37325",
"Singapore","SG","Total","Total","123","320","250","364","565","534","798","1468","1499","1188","1705","1821","1817","2148","2315","2334","2592","2599","2527","2583","2857","3921","3760","4114","4501",
"Singapore","SG","Total","Resident","","78","","124","132","134","222","241","258","240","297","312","304","303","341","358","379","390","359","363","321","421","425","402","464",
"Singapore","SG","Total","Abroad","123","242","250","240","433","400","576","1227","1241","948","1408","1509","1513","1845","1974","1976","2213","2209","2168","2220","2536","3500","3335","3712","4037",
"Singapore","SG","Total","Total (equivalent count)","123","335","265","379","565","534","798","1508","1515","1196","1729","1845","1921","2292","2331","2389","2643","2629","2594","2620","2899","3979","3788","4234","4599",
"Singapore","SG","Total","Abroad (equivalent count)","123","257","265","255","433","400","576","1267","1257","956","1432","1533","1617","1989","1990","2031","2264","2239","2235","2257","2578","3558","3363","3832","4135",
"Thailand","TH","Total","Total","7","11","11","10","7","5","11","26","28","30","48","72","110","683","198","137","243","422","475","604","370","410","432","396","438",
"Thailand","TH","Total","Resident","","","","","","","","","","","12","24","7","538","10","20","28","43","42","50","21","45","36","35","45",
"Thailand","TH","Total","Abroad","7","11","11","10","7","5","11","26","28","30","36","48","103","145","188","117","215","379","433","554","349","365","396","361","393",
"Thailand","TH","Total","Total (equivalent count)","7","11","11","10","7","5","11","26","36","30","48","72","110","683","198","137","250","422","482","611","370","410","432","412","438",
"Thailand","TH","Total","Abroad (equivalent count)","7","11","11","10","7","5","11","26","36","30","36","48","103","145","188","117","222","379","440","561","349","365","396","377","393",
"Timor-Leste","TL","Total","Abroad","","","","","","","","","","","","","","","","","","","","","","10","","","",
"Timor-Leste","TL","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","","","","","","","","10","","","",
"Viet Nam","VN","Total","Total","","2","","2","1","2","","5","5","1","11","17","33","36","41","65","18","23","30","35","35","36","46","18","43",
"Viet Nam","VN","Total","Resident","","","","","","","","","","","1","2","3","2","5","7","2","","2","1","","","","","1",
"Viet Nam","VN","Total","Abroad","","2","","2","1","2","","5","5","1","10","15","30","34","36","58","16","23","28","34","35","36","46","18","42",
"Viet Nam","VN","Total","Total (equivalent count)","","2","","2","1","2","","5","5","1","11","17","33","36","41","65","18","23","46","35","35","43","46","18","43",
"Viet Nam","VN","Total","Abroad (equivalent count)","","2","","2","1","2","","5","5","1","10","15","30","34","36","58","16","23","44","34","35","43","46","18","42",
