Intellectual property right :Patent

Indicator :8 - Foreign-oriented patent family by origin and destination office

Source: WIPO statistics database. Last updated: May 2026

Office,Office (Code),Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Philippines","PH","Brunei Darussalam","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Philippines","PH","China","2","7","10","23","18","23","24","33","39","42","61","67","95","79","105","206","384","528","413","531","520","409","254","","",
"Philippines","PH","Indonesia","","","3","1","","","","1","4","","1","4","2","2","1","3","1","","3","1","1","2","","","",
"Philippines","PH","Japan","94","289","386","340","364","420","392","424","490","379","552","596","648","599","630","770","810","806","690","705","621","593","340","","",
"Philippines","PH","Republic of Korea","1","17","23","55","84","82","71","80","72","57","104","103","131","131","151","168","145","204","192","186","186","218","94","","",
"Philippines","PH","Malaysia","","3","2","4","4","5","7","4","12","11","13","31","17","6","19","20","20","26","21","31","22","27","11","","",
"Philippines","PH","Philippines","11","3","7","7","5","13","7","5","5","4","7","22","18","20","17","10","9","9","9","14","12","16","3","","",
"Philippines","PH","Singapore","1","9","12","15","21","24","24","18","41","17","23","27","31","27","37","36","40","35","54","83","77","115","18","","",
"Philippines","PH","Thailand","","","","","1","1","","1","1","4","9","11","10","7","8","14","15","13","14","4","8","5","3","","",
"Philippines","PH","Viet Nam","","","","","","","","","","","","","","1","1","","2","","2","","","1","2","","",
"Republic of Korea","KR","Brunei Darussalam","","","","","1","7","","","1","2","1","","1","","","","","1","","","","","","","",
"Republic of Korea","KR","China","107","139","226","308","320","610","546","674","757","1053","1161","1311","1770","2228","3012","3511","3776","4490","5189","6231","6990","6434","6762","","",
"Republic of Korea","KR","Indonesia","4","1","4","1","2","2","","1","4","1","2","4","5","1","2","1","1","4","1","1","1","","2","","",
"Republic of Korea","KR","Japan","18037","17643","17970","19823","21014","20420","19756","17992","16032","16067","17880","17800","17126","15750","15508","14921","15061","15039","14294","13505","13097","13789","13333","","",
"Republic of Korea","KR","Cambodia","","","","","","","","","","","","","","","","","1","","1","","2","","","","",
"Republic of Korea","KR","Republic of Korea","6682","8011","10011","13990","18003","20662","20148","19586","17654","18068","20409","20352","22759","26078","26885","25919","24449","23182","25414","29071","30794","32181","31737","","",
"Republic of Korea","KR","Lao People's Democratic Republic","","","","","","","","","","1","","1","","","","","","","","","","","","","",
"Republic of Korea","KR","Myanmar","","","","","","","","","1","","","","","","","","","","","2","","2","1","","",
"Republic of Korea","KR","Malaysia","11","5","9","11","8","14","9","15","16","29","26","20","23","14","28","13","13","24","28","24","21","25","12","","",
"Republic of Korea","KR","Philippines","4","1","","2","","2","4","1","","1","4","7","4","6","7","3","1","2","3","1","1","3","3","","",
"Republic of Korea","KR","Singapore","35","39","63","81","122","181","178","171","124","103","147","151","174","131","155","140","130","139","182","255","253","338","230","","",
"Republic of Korea","KR","Thailand","3","1","1","","3","3","3","3","4","6","8","13","9","14","29","29","48","29","40","34","37","39","30","","",
"Republic of Korea","KR","Viet Nam","","","","","","","","1","","2","2","3","5","2","2","7","6","","1","4","1","1","4","","",
"Singapore","SG","Brunei Darussalam","","","","","","","","","","","","1","2","","","","","1","","","","","","","",
"Singapore","SG","China","36","18","12","39","56","38","41","48","48","140","177","189","354","309","469","616","871","1375","1729","1621","1725","1871","2261","","",
"Singapore","SG","Indonesia","5","","","","1","3","1","2","","","2","3","4","","4","5","1","","","2","1","2","1","","",
"Singapore","SG","Japan","2127","1159","601","649","649","502","464","442","502","1113","1425","1249","1450","1397","1694","1673","1761","1744","1653","1411","1535","1275","1399","","",
"Singapore","SG","Republic of Korea","111","34","47","57","57","42","45","49","52","109","156","158","134","151","185","212","229","401","420","426","406","265","265","","",
"Singapore","SG","Malaysia","14","5","7","9","10","16","7","15","11","32","31","33","38","32","36","37","26","26","25","23","17","22","24","","",
"Singapore","SG","Philippines","1","1","","1","","4","2","","","1","4","9","6","8","6","3","3","2","3","2","2","2","","","",
"Singapore","SG","Singapore","337","255","264","247","292","217","252","230","258","399","456","443","524","529","527","575","532","544","501","624","661","718","554","","",
"Singapore","SG","Thailand","3","","","1","1","1","3","1","3","3","6","4","7","8","12","21","20","18","22","34","22","18","9","","",
"Singapore","SG","Viet Nam","","","","","","","","","","","1","2","4","2","","","1","","1","","2","1","4","","",
"Thailand","TH","Brunei Darussalam","","","","","","","","","","","","1","","","","","","","","","","","","","",
"Thailand","TH","China","","","","","1","","","1","4","93","171","159","225","211","227","415","452","368","700","1025","910","1008","988","","",
"Thailand","TH","Indonesia","","","","","","","","","","1","1","2","1","","","","","","","1","","","","","",
"Thailand","TH","Japan","1","","1","9","8","5","1","9","59","1849","2751","2885","3072","3175","2980","3219","2713","1737","2834","2585","2455","2440","2420","","",
"Thailand","TH","Republic of Korea","","1","","","","","","","2","78","130","160","131","173","179","223","154","156","196","256","284","286","270","","",
"Thailand","TH","Malaysia","","","1","","","2","","","","17","29","45","46","20","27","28","15","17","23","41","26","30","26","","",
"Thailand","TH","Philippines","","","","3","","","","","","","4","10","5","7","6","3","2","","1","","","2","","","",
"Thailand","TH","Singapore","","2","","","","1","1","3","1","19","28","31","32","35","36","48","43","20","57","81","69","59","63","","",
"Thailand","TH","Thailand","4","16","11","24","19","21","17","14","20","44","27","25","42","29","54","79","83","60","65","83","64","73","44","","",
"Thailand","TH","Viet Nam","","","","","","","","","","","1","1","2","1","1","","1","","2","","","","6","","",
"Viet Nam","VN","Brunei Darussalam","","","","","","1","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VN","China","8","12","17","14","23","38","","","1","","","","","1","","","","","","2","","","","","",
"Viet Nam","VN","Indonesia","2","","3","","","1","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VN","Japan","241","224","271","329","295","244","13","1","3","","1","2","2","1","5","","","","4","6","5","2","1","","",
"Viet Nam","VN","Republic of Korea","50","56","57","94","92","75","7","","","","","","","","","","","","1","","1","","1","","",
"Viet Nam","VN","Malaysia","2","2","1","5","6","1","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VN","Philippines","3","","","","","2","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VN","Singapore","2","6","4","12","7","7","","","","","","","","","","","","","","3","2","1","","","",
"Viet Nam","VN","Thailand","","","","1","","","","","1","","","","","","","","","","1","","","","","","",
"Viet Nam","VN","Viet Nam","","","1","3","","6","","6","","3","6","2","2","4","7","8","8","11","25","34","57","53","51","","",
