Intellectual property right :Patent

Indicator :11 - Number of examiners by office

Source: WIPO statistics database. Last updated: May 2026

Office,Office (Code),Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","","","","","","","","","","","","","","","","","5","3","3","","","","","","",
"Cambodia","KH","Total","","","","","","","","","","","","","","","","","4","4","4","","","","3","","",
"China","CN","Total","","","","","","","","","","","4530","5044","6320","7680","9204","10124","10984","11421","","","13704","","","","",
"Indonesia","ID","Total","","","","","","","","","","","","","","","","","","","","111","113","","","","",
"Japan","JP","Total","1088","1096","1105","1126","1243","1358","1468","1567","1680","1692","1703","1711","1713","1701","1702","1702","1702","1696","1690","1682","1666","1665","1662","1663","1669",
"Lao People's Democratic Republic","LA","Total","","","","","","","","","","","","","","","","","","","","","1","","1","1","1",
"Philippines","PH","Total","","","","","","54","53","52","49","47","48","47","46","58","53","58","82","106","107","100","107","104","102","102","109",
"Republic of Korea","KR","Total","","","453","513","558","728","727","660","678","675","725","794","813","812","826","843","836","866","875","920","932","953","978","980","1052",
"Singapore","SG","Total","","","","","","","","","","","","","","","","","102","","","100","100","100","100","101","",
"Thailand","TH","Total","","","","","","","","","","","","","","","","","42","73","120","105","102","104","104","105","108",
"Viet Nam","VN","Total","","","","","","","","","","","","","","","","","56","62","62","70","63","74","71","70","66",
