granularity,min,median,max,n
origin_year_field,1.0481719655847532,2.2743157137525434,4.483112077067669,68
origin_year,1.0481719655847532,2.507988880085363,5.406232132647227,68
origin_field,1.0481719655847532,2.3863275865088482,4.898461538461539,68
origin_only,1.0481719655847532,2.5415451502527358,5.768115942028985,68
