measure,sample,n,p25,p75,min,median,max
domestic_share,measurable_home,58,9.209949599987112,64.76319915639144,0.26924694993689524,37.797044007113726,95.40419252122632
pct_share,all_68,68,12.706413553794636,18.587083981052118,3.21285140562249,15.094021305170248,54.4408945686901
duplication_factor,all_68,68,1.5528933123799546,3.3438181109046274,1.0481719655847532,2.2743157137525434,4.483112077067669
duplication_factor,measurable_home,58,1.477369373569357,3.4470665601300916,1.0481719655847532,2.137618110854165,4.483112077067669
