,duplication_factor,true_ratio,publications,families,lower,upper,lower_over_families,upper_over_families,abs_dev,abs_err_lower,abs_err_upper,domestic_share,H
TH,3.3125748502994012,3.042904290429043,2766.0,909.0,835.0,2766.0,0.9185918591859186,3.042904290429043,0.26967055987035815,0.08140814081408143,2.042904290429043,,
SG,2.599662589624631,2.035466613829998,30819.0,15141.0,11855.0,30819.0,0.7829733835281686,2.035466613829998,0.5641959757946329,0.2170266164718314,1.035466613829998,4.9806937278951295,0.049806937278951295
MY,2.0037735849056606,2.000942063118229,4248.0,2123.0,2120.0,4248.0,0.9985869053226566,2.000942063118229,0.0028315217874315124,0.0014130946773434072,1.000942063118229,47.92843691148776,0.4792843691148776
JP,1.803747413350257,1.8877821191322106,1864485.0,987659.0,1033673.0,1864485.0,1.046588954284829,1.8877821191322106,0.08403470578195371,0.04658895428482901,0.8877821191322106,55.42554646457333,0.5542554646457333
KR,1.4691564873829712,1.40184581316374,1038200.0,740595.0,706664.0,1038200.0,0.9541841357287046,1.40184581316374,0.06731067421923131,0.04581586427129536,0.4018458131637399,68.0662685417068,0.6806626854170681
PH,1.1655172413793105,0.8198908429351122,1352.0,1649.0,1160.0,1352.0,0.7034566403881141,0.8198908429351122,0.3456263984441983,0.29654335961188594,0.18010915706488784,81.13905325443787,0.8113905325443787
CN,1.0481719655847532,1.068663147630721,7464673.0,6985057.0,7121611.0,7464673.0,1.0195494467690098,1.068663147630721,0.02049118204596767,0.019549446769009826,0.0686631476307209,95.40419252122632,0.9540419252122632
